,DATE,CONFIRMED_CASES,ACTIVE_CASES,DEATHS
0,2020-02-28,1,1,0
1,2020-02-29,1,1,0
2,2020-03-01,1,1,0
3,2020-03-02,1,1,0
4,2020-03-03,1,1,0
5,2020-03-04,1,1,0
6,2020-03-05,1,1,0
7,2020-03-06,1,1,0
8,2020-03-07,1,1,0
9,2020-03-08,1,1,0
10,2020-03-09,1,1,0
11,2020-03-10,2,2,0
12,2020-03-11,2,2,0
13,2020-03-12,2,2,0
14,2020-03-13,2,2,0
15,2020-03-14,2,2,0
16,2020-03-15,2,2,0
17,2020-03-16,2,2,0
18,2020-03-17,3,3,0
19,2020-03-18,3,3,0
20,2020-03-19,8,7,0
21,2020-03-20,12,11,0
22,2020-03-21,12,11,0
23,2020-03-22,25,23,0
24,2020-03-23,30,28,0
25,2020-03-24,36,34,0
26,2020-03-25,44,42,0
27,2020-03-26,51,49,1
28,2020-03-27,65,62,1
29,2020-03-28,65,62,1
30,2020-03-29,97,94,1
31,2020-03-30,111,108,1
32,2020-03-31,131,123,2
33,2020-04-01,139,130,2
34,2020-04-02,174,165,2
35,2020-04-03,174,165,2
36,2020-04-04,184,164,2
37,2020-04-05,214,189,4
38,2020-04-06,232,199,5
39,2020-04-07,238,203,5
40,2020-04-08,254,210,6
41,2020-04-09,274,230,6
42,2020-04-10,288,237,7
43,2020-04-11,305,247,7
44,2020-04-12,318,248,10
45,2020-04-13,323,238,10
46,2020-04-14,343,252,10
47,2020-04-15,373,274,11
48,2020-04-16,407,279,12
49,2020-04-17,442,290,13
50,2020-04-18,493,334,17
51,2020-04-19,540,374,19
52,2020-04-20,627,457,22
53,2020-04-21,665,477,22
54,2020-04-22,782,585,25
55,2020-04-23,873,676,28
56,2020-04-24,981,784,31
57,2020-04-25,1095,887,32
58,2020-04-26,1181,963,35
59,2020-04-27,1273,1038,40
60,2020-04-28,1337,1086,40
61,2020-04-29,1532,1277,43
62,2020-04-30,1726,1421,50
63,2020-05-01,1930,1613,57
64,2020-05-02,2168,1819,67
65,2020-05-03,2388,2012,84
66,2020-05-04,2557,2166,86
67,2020-05-05,2802,2385,92
68,2020-05-06,2950,2469,97
69,2020-05-07,3145,2611,103
70,2020-05-08,3525,2924,107
71,2020-05-09,3911,3232,117
72,2020-05-10,4150,3437,125
73,2020-05-11,4398,3620,142
74,2020-05-12,4640,3738,152
75,2020-05-13,4786,3827,158
76,2020-05-14,4968,3898,164
77,2020-05-15,5157,3977,167
78,2020-05-16,5445,4125,171
79,2020-05-17,5621,4149,176
80,2020-05-18,5959,4365,182
81,2020-05-19,6167,4523,191
82,2020-05-20,6393,4659,192
83,2020-05-21,6677,4817,202
84,2020-05-22,7016,5109,211
85,2020-05-23,7260,5253,221
86,2020-05-24,7525,5351,221
87,2020-05-25,7838,5575,226
88,2020-05-26,8067,5756,233
89,2020-05-27,8343,5958,249
90,2020-05-28,8732,6231,254
91,2020-05-29,8914,6322,259
92,2020-05-30,9301,6604,261
93,2020-05-31,9854,6998,273
94,2020-06-01,10161,7154,287
95,2020-06-02,10577,7455,299
96,2020-06-03,10818,7579,314
97,2020-06-04,11166,7837,315
98,2020-06-05,11516,7981,323
99,2020-06-06,11844,8148,333
100,2020-06-07,12226,8400,342
101,2020-06-08,12486,8527,354
102,2020-06-09,12801,8761,361
103,2020-06-10,13464,9258,365
104,2020-06-11,13873,9522,382
105,2020-06-12,14554,10060,387
106,2020-06-13,15181,10290,399
107,2020-06-14,15682,10581,407
108,2020-06-15,16085,10865,420
109,2020-06-16,16658,11309,424
110,2020-06-17,17148,11525,455
111,2020-06-18,17735,11768,469
112,2020-06-19,18480,12173,475
113,2020-06-20,19147,12566,487
114,2020-06-21,19808,13090,506
115,2020-06-22,20244,13365,518
116,2020-06-23,20919,13810,525
117,2020-06-24,21371,14033,533
118,2020-06-25,22020,14407,542
119,2020-06-26,22614,14792,549
120,2020-06-27,23298,15045,554
121,2020-06-28,24077,15452,558
122,2020-06-29,24567,15560,565
123,2020-06-30,25133,15731,573
124,2020-07-01,25694,15948,590
125,2020-07-02,26484,16332,603
126,2020-07-03,27110,16309,616
127,2020-07-04,27564,16495,628
128,2020-07-05,28167,16705,634
129,2020-07-06,28711,17046,645
130,2020-07-07,29286,17458,654
131,2020-07-08,29789,17681,669
132,2020-07-09,30249,17876,684
133,2020-07-10,30748,18202,689
134,2020-07-11,31323,18528,709
135,2020-07-12,31987,18884,724
136,2020-07-13,32558,19111,740
137,2020-07-14,33153,19482,744
138,2020-07-15,33616,19824,754
139,2020-07-16,34259,20260,760
140,2020-07-17,34854,20562,769
141,2020-07-18,35454,20821,772
142,2020-07-19,36107,21169,778
143,2020-07-20,36663,21558,789
144,2020-07-21,37225,21892,801
145,2020-07-22,37801,22124,805
146,2020-07-23,38344,22529,813
147,2020-07-24,38948,22887,833
148,2020-07-25,39539,22980,845
149,2020-07-26,39977,23029,856
150,2020-07-27,40532,23158,858
151,2020-07-28,41180,22977,860
152,2020-07-29,41804,23040,868
153,2020-07-30,42208,23204,873
154,2020-07-31,42689,23419,878
155,2020-08-01,43151,23586,879
156,2020-08-02,43537,23450,883
157,2020-08-03,43841,23533,888
158,2020-08-04,44129,12520,896
159,2020-08-05,44433,12582,910
160,2020-08-06,44890,12725,927
161,2020-08-07,45244,12814,930
162,2020-08-08,45687,13050,936
163,2020-08-09,46140,13096,942
164,2020-08-10,46577,13391,945
165,2020-08-11,46867,13521,950
166,2020-08-12,47290,13681,956
167,2020-08-13,47743,13800,956
168,2020-08-14,48116,13807,966
169,2020-08-15,48445,12447,973
170,2020-08-16,48770,12480,974
171,2020-08-17,49068,12571,975
172,2020-08-18,49485,12651,977
173,2020-08-19,49895,12844,981
174,2020-08-20,50488,13184,985
175,2020-08-21,50964,13395,992
176,2020-08-22,51304,13419,996
177,2020-08-23,51905,13138,997
178,2020-08-24,52227,13282,1002
179,2020-08-25,52548,13291,1004
180,2020-08-26,52800,12836,1007
181,2020-08-27,53021,12740,1010
182,2020-08-28,53317,12591,1011
183,2020-08-29,53477,12460,1011
184,2020-08-30,53727,12413,1011
185,2020-08-31,53865,12352,1013
186,2020-09-01,54008,12370,1013
187,2020-09-02,54247,12237,1023
188,2020-09-03,54463,12024,1027
189,2020-09-04,54587,11960,1048
190,2020-09-05,54743,11927,1051
191,2020-09-06,54905,11983,1054
192,2020-09-07,55005,11992,1057
193,2020-09-08,55160,11929,1061
194,2020-09-09,55456,12122,1067
195,2020-09-10,55632,12022,1070
196,2020-09-11,55829,12019,1075
197,2020-09-12,56017,12019,1076
198,2020-09-13,56177,12089,1078
199,2020-09-14,56256,12104,1082
200,2020-09-15,56388,12051,1083
201,2020-09-16,56478,12048,1088
202,2020-09-17,56604,8732,1091
203,2020-09-18,56735,8643,1093
204,2020-09-19,56956,8651,1094
205,2020-09-20,57145,8714,1095
206,2020-09-21,57242,8673,1098
207,2020-09-22,57437,8763,1100
208,2020-09-23,57613,8777,1100
209,2020-09-24,57724,8739,1101
210,2020-09-25,57849,8751,1101
211,2020-09-26,58062,8456,1103
212,2020-09-27,58198,8476,1106
213,2020-09-28,58324,8530,1108
214,2020-09-29,58460,8565,1111
215,2020-09-30,58647,8710,1111
216,2020-10-01,58848,8490,1112
217,2020-10-02,59001,8549,1112
218,2020-10-03,59127,8534,1112
219,2020-10-04,59287,8569,1113
220,2020-10-05,59345,8577,1113
221,2020-10-06,59465,8514,1113
222,2020-10-07,59583,8275,1113
223,2020-10-08,59738,8335,1113
224,2020-10-09,59841,8290,1113
225,2020-10-10,59992,8378,1113
226,2020-10-11,60103,8392,1115
227,2020-10-12,60266,8531,1115
228,2020-10-13,60430,8487,1115
229,2020-10-14,60655,8649,1116
230,2020-10-15,60834,8691,1116
231,2020-10-16,60982,8788,1116
232,2020-10-17,61194,8890,1119
233,2020-10-18,61307,4750,1123
234,2020-10-19,61440,4883,1123
235,2020-10-20,61558,5001,1123
236,2020-10-21,61558,5001,1123
237,2020-10-22,61558,5001,1123
238,2020-10-23,61558,5001,1123
239,2020-10-24,61882,5325,1123
240,2020-10-25,61930,5373,1123
241,2020-10-26,61992,4527,1130
242,2020-10-27,62111,4646,1130
243,2020-10-28,62224,4759,1130
244,2020-10-29,62371,4906,1130
245,2020-10-30,62521,5056,1130
246,2020-10-31,62691,5226,1130
247,2020-11-01,62853,5388,1130
248,2020-11-02,62964,4174,1146
249,2020-11-03,63036,3735,1146
250,2020-11-04,63173,3872,1146
251,2020-11-05,63328,4027,1146
252,2020-11-06,63508,4207,1146
253,2020-11-07,63731,4430,1146
254,2020-11-08,63790,4489,1146
255,2020-11-09,64090,4180,1153
256,2020-11-10,64184,4115,1157
257,2020-11-11,64336,4003,1159
258,2020-11-12,64516,3779,1161
259,2020-11-13,64728,3938,1161
260,2020-11-14,64884,3948,1162
261,2020-11-15,64996,3967,1162
262,2020-11-16,65148,4075,1162
263,2020-11-17,65305,4143,1162
264,2020-11-18,65457,4120,1162
265,2020-11-19,65693,4236,1162
266,2020-11-20,65839,4266,1165
267,2020-11-21,65982,4200,1165
268,2020-11-22,66228,4344,1166
269,2020-11-23,66383,4307,1167
270,2020-11-24,66439,4198,1168
271,2020-11-25,66607,4296,1169
272,2020-11-26,66805,4312,1169
273,2020-11-27,66974,4389,1169
274,2020-11-28,67220,4534,1171
275,2020-11-29,67330,4511,1171
276,2020-11-30,67412,4357,1173
277,2020-12-01,67557,4275,1173
278,2020-12-02,67838,4408,1176
279,2020-12-03,67960,4121,1177
280,2020-12-04,68303,4012,1179
281,2020-12-05,68627,4160,1179
282,2020-12-06,68937,4287,1180
283,2020-12-07,69255,4481,1180
284,2020-12-08,69645,4698,1181
285,2020-12-09,70195,5085,1182
286,2020-12-10,70669,5427,1184
287,2020-12-11,71344,5870,1190
288,2020-12-12,72140,6418,1190
289,2020-12-13,72757,6907,1194
290,2020-12-14,73175,7085,1197
291,2020-12-15,73376,7062,1197
292,2020-12-16,74134,7640,1200
293,2020-12-17,75064,8289,1200
294,2020-12-18,76209,9099,1203
295,2020-12-19,77015,9531,1212
296,2020-12-20,77935,10151,1218
297,2020-12-21,78434,10131,1221
298,2020-12-22,78790,10307,1227
299,2020-12-23,79789,10910,1231
300,2020-12-24,80922,11644,1236
301,2020-12-25,81963,12312,1242
302,2020-12-26,82747,12508,1246
303,2020-12-27,83576,13081,1247
304,2020-12-28,84414,13380,1254
305,2020-12-29,84811,13454,1264
306,2020-12-30,85560,13623,1267
307,2020-12-31,86575,13253,1278
308,2021-01-01,87606,13893,1289
309,2021-01-02,88680,14307,1294
310,2021-01-03,89252,14463,1302
311,2021-01-04,90147,15103,1311
312,2021-01-05,91351,15652,1318
313,2021-01-06,92736,16340,1319
314,2021-01-07,94369,17070,1324
315,2021-01-08,95934,17952,1331
316,2021-01-09,97481,18929,1343
317,2021-01-10,99067,19650,1350
318,2021-01-11,100087,20057,1358
319,2021-01-12,101331,20840,1361
320,2021-01-13,102601,21027,1373
321,2021-01-14,103999,21444,1382
322,2021-01-15,105478,21648,1405
323,2021-01-16,107345,22810,1413
324,2021-01-17,108943,23576,1420
325,2021-01-18,110387,21070,1435
326,2021-01-19,112004,22065,1449
327,2021-01-20,113305,22105,1464
328,2021-01-21,114691,22355,1478
329,2021-01-22,116655,23009,1485
330,2021-01-23,118969,24092,1497
331,2021-01-24,120602,24701,1502
332,2021-01-25,121566,24338,1504
333,2021-01-26,122996,24637,1507
334,2021-01-27,124299,25023,1522
335,2021-01-28,126160,25795,1544
336,2021-01-29,127560,26049,1550
337,2021-01-30,128674,25894,1577
338,2021-01-31,130557,26845,1578
339,2021-02-01,131242,26253,1586
340,2021-02-02,131918,25643,1607
341,2021-02-03,133552,26001,1613
342,2021-02-04,134690,26033,1618
343,2021-02-05,136030,25581,1632
344,2021-02-06,137654,26015,1641
345,2021-02-07,139242,26685,1647
346,2021-02-08,139748,26223,1667
347,2021-02-09,140391,25756,1673
348,2021-02-10,141447,25692,1694
349,2021-02-11,142578,25631,1702
350,2021-02-12,143516,25504,1710
351,2021-02-13,144521,25655,1734
352,2021-02-14,145664,25265,1747
353,2021-02-15,146354,25161,1753
354,2021-02-16,146928,23919,1761
355,2021-02-17,148500,23577,1777
356,2021-02-18,149369,23647,1785
357,2021-02-19,150246,23780,1801
358,2021-02-20,150908,23359,1811
359,2021-02-21,151553,23499,1829
360,2021-02-22,152074,23406,1837
361,2021-02-23,152616,23225,1862
362,2021-02-24,153187,23153,1874
363,2021-02-25,153842,23001,1885
364,2021-02-26,154476,22754,1891
365,2021-02-27,155076,22509,1902
366,2021-02-28,155417,22138,1905
367,2021-03-01,155657,21866,1907
368,2021-03-02,156017,21560,1915
369,2021-03-03,156496,21392,1923
370,2021-03-04,156960,21124,1935
371,2021-03-05,157671,21336,1951
372,2021-03-06,158042,21017,1954
373,2021-03-07,158237,20592,1964
374,2021-03-08,158535,20479,1969
375,2021-03-09,158906,20404,1982
376,2021-03-10,159252,20196,1988
377,2021-03-11,159646,19663,1993
378,2021-03-12,159933,17529,2001
379,2021-03-13,160332,16273,2009
380,2021-03-14,160537,15823,2013
381,2021-03-15,160657,15258,2013
382,2021-03-16,160895,15143,2016
383,2021-03-17,161074,15002,2018
384,2021-03-18,161274,14810,2027
385,2021-03-19,161409,14519,2027
386,2021-03-20,161539,13958,2027
387,2021-03-21,161651,13876,2030
388,2021-03-22,161737,13838,2030
389,2021-03-23,161868,13743,2030
390,2021-03-24,162082,13552,2031
391,2021-03-25,162178,13452,2031
392,2021-03-26,162275,12393,2036
393,2021-03-27,162388,12402,2039
394,2021-03-28,162489,12297,2041
395,2021-03-29,162593,12285,2048
396,2021-03-30,162641,12175,2049
397,2021-03-31,162762,11230,2056
398,2021-04-01,162891,11243,2057
399,2021-04-02,162997,11289,2058
400,2021-04-03,163063,11228,2058
401,2021-04-04,163113,11260,2058
402,2021-04-05,163195,11197,2058
403,2021-04-06,163330,11285,2058
404,2021-04-07,163388,9796,2058
405,2021-04-08,163498,9748,2058
406,2021-04-09,163581,9576,2058
407,2021-04-10,163652,9579,2059
408,2021-04-11,163736,9638,2060
409,2021-04-12,163793,9686,2060
410,2021-04-13,163837,9660,2061
411,2021-04-14,163911,9686,2061
412,2021-04-15,164000,9730,2061
413,2021-04-16,164080,9795,2061
414,2021-04-17,164147,9843,2061
415,2021-04-18,164207,9882,2061
416,2021-04-19,164233,9901,2061
417,2021-04-20,164303,9919,2061
418,2021-04-21,164423,10017,2061
419,2021-04-22,164488,10047,2061
420,2021-04-23,164588,10010,2061
421,2021-04-24,164633,9990,2061
422,2021-04-25,164684,9997,2061
423,2021-04-26,164719,9793,2062
424,2021-04-27,164756,9793,2062
425,2021-04-28,164912,9900,2063
426,2021-04-29,164993,9972,2063
427,2021-04-30,165055,10014,2063
428,2021-05-01,165110,10009,2063
429,2021-05-02,165153,10044,2063
430,2021-05-03,165181,9820,2063
431,2021-05-04,165199,9828,2063
432,2021-05-20,165852,7330,2067
